id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin
434,Chennai Super Kings,Rajasthan Royals,5/13/2014,2014,JSCA International Stadium Complex,Ranchi,India,Rajasthan Royals,Chennai Super Kings,bat,wickets,Result,RA Jadeja,5
435,Royal Challengers Bangalore,Delhi Daredevils,5/13/2014,2014,M Chinnaswamy Stadium,Bangalore,India,Delhi Daredevils,Royal Challengers Bangalore,field,runs,Result,Yuvraj Singh,16
436,Sunrisers Hyderabad,Kings XI Punjab,5/14/2014,2014,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,WP Saha,6
437,Kolkata Knight Riders,Mumbai Indians,5/14/2014,2014,Barabati Stadium,Cuttack,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,RV Uthappa,6
438,Rajasthan Royals,Delhi Daredevils,5/15/2014,2014,"Sardar Patel Stadium, Motera",Ahmedabad,India,Delhi Daredevils,Rajasthan Royals,field,runs,Result,AM Rahane,62
439,Chennai Super Kings,Royal Challengers Bangalore,5/18/2014,2014,JSCA International Stadium Complex,Ranchi,India,Chennai Super Kings,Royal Challengers Bangalore,bat,wickets,Result,AB de Villiers,5
440,Sunrisers Hyderabad,Kolkata Knight Riders,5/18/2014,2014,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Kolkata Knight Riders,bat,wickets,Result,UT Yadav,7
441,Rajasthan Royals,Mumbai Indians,5/19/2014,2014,"Sardar Patel Stadium, Motera",Ahmedabad,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,MEK Hussey,25
442,Delhi Daredevils,Kings XI Punjab,5/19/2014,2014,Feroz Shah Kotla,Delhi,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,AR Patel,4
443,Sunrisers Hyderabad,Royal Challengers Bangalore,5/20/2014,2014,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,wickets,Result,DA Warner,7
444,Kolkata Knight Riders,Chennai Super Kings,5/20/2014,2014,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,RV Uthappa,8
445,Kings XI Punjab,Mumbai Indians,5/21/2014,2014,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,LMP Simmons,7
446,Kolkata Knight Riders,Royal Challengers Bangalore,5/22/2014,2014,Eden Gardens,Kolkata,India,Royal Challengers Bangalore,Kolkata Knight Riders,field,runs,Result,RV Uthappa,30
447,Chennai Super Kings,Sunrisers Hyderabad,5/22/2014,2014,JSCA International Stadium Complex,Ranchi,India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Result,DA Warner,6
448,Mumbai Indians,Delhi Daredevils,5/23/2014,2014,Wankhede Stadium,Mumbai,India,Delhi Daredevils,Mumbai Indians,field,runs,Result,MEK Hussey,15
449,Kings XI Punjab,Rajasthan Royals,5/23/2014,2014,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Rajasthan Royals,Kings XI Punjab,field,runs,Result,SE Marsh,16
450,Royal Challengers Bangalore,Chennai Super Kings,5/24/2014,2014,M Chinnaswamy Stadium,Bangalore,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,MS Dhoni,8
451,Kolkata Knight Riders,Sunrisers Hyderabad,5/24/2014,2014,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,YK Pathan,4
452,Kings XI Punjab,Delhi Daredevils,5/25/2014,2014,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,M Vohra,7
453,Mumbai Indians,Rajasthan Royals,5/25/2014,2014,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,CJ Anderson,5
454,Kings XI Punjab,Kolkata Knight Riders,5/27/2014,2014,Eden Gardens,Kolkata,India,Kings XI Punjab,Kolkata Knight Riders,field,runs,Result,UT Yadav,28
455,Chennai Super Kings,Mumbai Indians,5/28/2014,2014,Brabourne Stadium,Mumbai,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,SK Raina,7
456,Chennai Super Kings,Kings XI Punjab,5/30/2014,2014,Wankhede Stadium,Mumbai,India,Chennai Super Kings,Kings XI Punjab,field,runs,Result,V Sehwag,24
457,Kolkata Knight Riders,Kings XI Punjab,06-01-2014,2014,M Chinnaswamy Stadium,Bangalore,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,MK Pandey,3
458,Kolkata Knight Riders,Mumbai Indians,04-08-2015,2015,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,M Morkel,7
459,Chennai Super Kings,Delhi Daredevils,04-09-2015,2015,"MA Chidambaram Stadium, Chepauk",Chennai,India,Delhi Daredevils,Chennai Super Kings,field,runs,Result,A Nehra,1
460,Kings XI Punjab,Rajasthan Royals,04-10-2015,2015,Maharashtra Cricket Association Stadium,Pune,India,Kings XI Punjab,Rajasthan Royals,field,runs,Result,JP Faulkner,26
